"","Year","Population","years_before_present"
"1",1867,3463000,156
"2",1868,3511000,155
"3",1869,3565000,154
"4",1870,3625000,153
"5",1871,3689000,152
"6",1872,3754000,151
"7",1873,3826000,150
"8",1874,3895000,149
"9",1875,3954000,148
"10",1876,4009000,147
"11",1877,4064000,146
"12",1878,4120000,145
"13",1879,4185000,144
"14",1880,4255000,143
"15",1881,4325000,142
"16",1882,4375000,141
"17",1883,4430000,140
"18",1884,4487000,139
"19",1885,4537000,138
"20",1886,4580000,137
"21",1887,4626000,136
"22",1888,4678000,135
"23",1889,4729000,134
"24",1890,4779000,133
"25",1891,4833000,132
"26",1892,4883000,131
"27",1893,4931000,130
"28",1894,4979000,129
"29",1895,5026000,128
"30",1896,5074000,127
"31",1897,5122000,126
"32",1898,5175000,125
"33",1899,5235000,124
"34",1900,5301000,123
"35",1901,5371000,122
"36",1902,5494000,121
"37",1903,5651000,120
"38",1904,5827000,119
"39",1905,6002000,118
"40",1906,6097000,117
"41",1907,6411000,116
"42",1908,6625000,115
"43",1909,6800000,114
"44",1910,6988000,113
"45",1911,7207000,112
"46",1912,7389000,111
"47",1913,7632000,110
"48",1914,7879000,109
"49",1915,7981000,108
"50",1916,8001000,107
"51",1917,8060000,106
"52",1918,8148000,105
"53",1919,8311000,104
"54",1920,8556000,103
"55",1921,8788000,102
"56",1922,8919000,101
"57",1923,9010000,100
"58",1924,9143000,99
"59",1925,9294000,98
"60",1926,9451000,97
"61",1927,9637000,96
"62",1928,9835000,95
"63",1929,10029000,94
"64",1930,10208000,93
"65",1931,10377000,92
"66",1932,10510000,91
"67",1933,10633000,90
"68",1934,10741000,89
"69",1935,10845000,88
"70",1936,10950000,87
"71",1937,11045000,86
"72",1938,11152000,85
"73",1939,11267000,84
"74",1940,11381000,83
"75",1941,11507000,82
"76",1942,11654000,81
"77",1943,11795000,80
"78",1944,11946000,79
"79",1945,12072000,78
"80",1946,12292000,77
"81",1947,12551000,76
"82",1948,12823000,75
"83",1949,13447000,74
"84",1950,13712000,73
"85",1951,14009000,72
"86",1952,14459000,71
"87",1953,14845000,70
"88",1954,15287000,69
"89",1955,15698000,68
"90",1956,16081000,67
"91",1957,16610000,66
"92",1958,17080000,65
"93",1959,17483000,64
"94",1960,17870000,63
"95",1961,18238000,62
"96",1962,18583000,61
"97",1963,18931000,60
"98",1964,19291000,59
"99",1965,19644000,58
"100",1966,20015000,57
"101",1967,20378000,56
"102",1968,20701000,55
"103",1969,21001000,54
"104",1970,21297000,53
"105",1971,21961999,52
"106",1972,22218475,51
"107",1973,22491757,50
"108",1974,22807918,49
"109",1975,23143192,48
"110",1976,23449791,47
"111",1977,23725921,46
"112",1978,23963370,45
"113",1979,24201801,44
"114",1980,24516071,43
"115",1981,24820393,42
"116",1982,25117442,41
"117",1983,25366969,40
"118",1984,25607651,39
"119",1985,25842736,38
"120",1986,26101155,37
"121",1987,26448855,36
"122",1988,26795383,35
"123",1989,27281795,34
"124",1990,27697530,33
"125",1991,28031394,32
"126",1992,28366737,31
"127",1993,28681676,30
"128",1994,28999006,29
"129",1995,29302091,28
"130",1996,29610757,27
"131",1997,29907172,26
"132",1998,30157082,25
"133",1999,30403878,24
"134",2000,30689035,23
"135",2001,31021251,22
"136",2002,31372587,21
"137",2003,31676077,20
"138",2004,31989454,19
"139",2005,32299496,18
"140",2006,32623490,17
"141",2007,32976026,16
"142",2008,33050613,15
"143",2009,33427050,14
"144",2010,33807529,13
"145",2011,34166099,12
"146",2012,34516352,11
"147",2013,34883119,10
"148",2014,35249639,9
"149",2015,35575187,8
"150",2016,35871136,7
"151",2017,36314099,6
"152",2018,36798408,5
"153",2019,37325235,4
"154",2020,37909001,3
"155",2021,38043450,2
"156",2022,38516138,1
"157",2023,39566248,0
