sample,population
1.2_1A2_sorted,47
1.2_1A7_sorted,18
1.2_1A9_sorted,20
1.2_1B1_sorted,19
1.2_1B4_sorted,21
1.2_1B5_sorted,17
1.2_1B7_sorted,7
1.2_1C11_sorted,7
1.2_1C2_sorted,49
1.2_1C4_sorted,17
1.2_1C7_sorted,7
1.2_1C9_sorted,47
1.2_1D1_sorted,6
1.2_1D4_sorted,23
1.2_1D5_sorted,36
1.2_1D9_sorted,6
1.2_1E10_sorted,49
1.2_1E11_sorted,45
1.2_1E1_sorted,49
1.2_1E4_sorted,7
1.2_1E5_sorted,36
1.2_1E7_sorted,19
1.2_1F1_sorted,46
1.2_1F3_sorted,46
1.2_1G1_sorted,6
1.2_1G4_sorted,21
1.2_1G7_sorted,7
1.2_1H4_sorted,9
1.2_1H6_sorted,17
1.2_2A11_sorted,18
1.2_2A3_sorted,35
1.2_2A5_sorted,8
1.2_2A7_sorted,21
1.2_2A8_sorted,5
1.2_2B1_sorted,35
1.2_2B5_sorted,6
1.2_2B6_sorted,49
1.2_2D10_sorted,49
1.2_2D4_sorted,47
1.2_2D6_sorted,6
1.2_2E10_sorted,5
1.2_2E11_sorted,47
1.2_2E5_sorted,21
1.2_2E7_sorted,35
1.2_2F11_sorted,5
1.2_2F4_sorted,47
1.2_2F6_sorted,19
1.2_2F7_sorted,46
1.2_2F8_sorted,17
1.2_2G2_sorted,5
1.2_2H6_sorted,21
1.2_2H7_sorted,19
3A_A12_sorted,MWI075
3A_A2_sorted,36
3A_A3_sorted,8
3A_A5_sorted,MWI016
3A_A6_sorted,MWI025
3A_A7_sorted,MWI033
3A_A8_sorted,MWI041
3A_A9_sorted,MWI049
3A_B10_sorted,MWI058
3A_B11_sorted,MWI068
3A_B12_sorted,MWI076
3A_B3_sorted,8
3A_B5_sorted,MWI017
3A_B6_sorted,MWI026
3A_B7_sorted,MWI034
3A_B8_sorted,MWI042
3A_B9_sorted,MWI050
3A_C10_sorted,MWI059
3A_C11_sorted,MWI069
3A_C2_sorted,18
3A_C5_sorted,MWI018
3A_C6_sorted,MWI027
3A_C7_sorted,MWI035
3A_C8_sorted,MWI043
3A_C9_sorted,MWI051
3A_D10_sorted,MWI060
3A_D11_sorted,MWI070
3A_D2_sorted,18
3A_D6_sorted,MWI028
3A_D8_sorted,MWI044
3A_D9_sorted,MWI052
3A_E10_sorted,MWI061
3A_E2_sorted,5
3A_E6_sorted,MWI029
3A_E8_sorted,MWI045
3A_E9_sorted,MWI053
3A_F1_sorted,9
3A_F2_sorted,36
3A_F6_sorted,MWI030
3A_F8_sorted,MWI046
3A_F9_sorted,MWI054
3A_G11_sorted,MWI073
3A_G1_sorted,46
3A_G6_sorted,MWI031
3A_G8_sorted,MWI047
3A_G9_sorted,MWI055
3A_H11_sorted,MWI074
3A_H1_sorted,46
3A_H2_sorted,35
3A_H5_sorted,MWI024
3A_H6_sorted,MWI032
3A_H7_sorted,MWI040
3A_H8_sorted,MWI048
3A_H9_sorted,MWI056
