sample,patch_id,u_r_usc
1.2_1A10,MW067,Urban
1.2_1A11,MW079,Urban
1.2_1A1,MW040,Urban
1.2_1A2,MW047,Rural
1.2_1A3,MW002,Urban
1.2_1A4,MW012,Urban
1.2_1A5,MW013,Urban
1.2_1A6,MW036,Rural
1.2_1A7,MW018,Rural
1.2_1A8,MW030,Urban
1.2_1A9,MW020,Rural
1.2_1B10,MW028,Urban
1.2_1B11,MW013,Urban
1.2_1B1,MW019,Rural
1.2_1B2,MW004,Rural
1.2_1B3,MW030,Urban
1.2_1B4,MW021,Rural
1.2_1B5,MW017,Rural
1.2_1B6,MW051,Urban
1.2_1B7,MW007,Rural
1.2_1B8,MW056,Urban
1.2_1B9,MW057,Urban
1.2_1C10,MW027,Urban
1.2_1C11,MW007,Rural
1.2_1C1,MW030,Urban
1.2_1C2,MW049,Urban
1.2_1C3,MW077,Urban
1.2_1C4,MW017,Rural
1.2_1C5,MW039,Urban
1.2_1C6,MW001,Rural
1.2_1C7,MW007,Rural
1.2_1C8,MW012,Urban
1.2_1C9,MW047,Rural
1.2_1D10,MW001,Rural
1.2_1D11,MW079,Urban
1.2_1D1,MW006,Rural
1.2_1D2,MW077,Urban
1.2_1D3,MW072,Urban
1.2_1D4,MW023,Rural
1.2_1D5,MW036,Rural
1.2_1D6,MW062,Urban
1.2_1D7,MW062,Urban
1.2_1D8,MW057,Urban
1.2_1D9,MW006,Rural
1.2_1E10,MW049,Urban
1.2_1E11,MW045,Rural
1.2_1E1,MW049,Urban
1.2_1E2,MW079,Urban
1.2_1E3,MW056,Urban
1.2_1E4,MW007,Rural
1.2_1E5,MW036,Rural
1.2_1E6,MW001,Rural
1.2_1E7,MW019,Rural
1.2_1E8,MW016,Urban
1.2_1E9,MW004,Rural
1.2_1F10,MW039,Urban
1.2_1F1,MW046,Rural
1.2_1F2,MW012,Urban
1.2_1F3,MW046,Rural
1.2_1F4,MW004,Rural
1.2_1F5,MW061,Urban
1.2_1F6,MW017,Rural
1.2_1F7,MW068,Urban
1.2_1F8,MW029,Urban
1.2_1F9,MW077,Urban
1.2_1G10,MW077,Urban
1.2_1G1,MW006,Rural
1.2_1G2,MW014,Urban
1.2_1G4,MW021,Rural
1.2_1G5,MW002,Urban
1.2_1G6,MW042,Urban
1.2_1G7,MW007,Rural
1.2_1G8,MW067,Urban
1.2_1G9,MW027,Urban
1.2_1H10,MW003,Rural
1.2_1H1,MW031,Urban
1.2_1H2,MW015,Urban
1.2_1H3,MW040,Urban
1.2_1H4,MW009,Rural
1.2_1H5,MW012,Urban
1.2_1H6,MW017,Rural
1.2_1H7,MW067,Urban
1.2_1H8,MW011,Urban
1.2_1H9,MW064,Urban
1.2_2A10,MW003,Rural
1.2_2A11,MW018,Rural
1.2_2A1,MW077,Urban
1.2_2A2,MW069,Urban
1.2_2A3,MW035,Rural
1.2_2A4,MW004,Rural
1.2_2A5,MW008,Rural
1.2_2A6,MW062,Urban
1.2_2A7,MW021,Rural
1.2_2A8,MW005,Rural
1.2_2A9,MW031,Urban
1.2_2B10,MW069,Urban
1.2_2B11,MW014,Urban
1.2_2B1,MW035,Rural
1.2_2B2,MW072,Urban
1.2_2B3,MW064,Urban
1.2_2B4,MW068,Urban
1.2_2B5,MW006,Rural
1.2_2B6,MW049,Urban
1.2_2B7,MW074,Urban
1.2_2B8,MW039,Urban
1.2_2B9,MW040,Urban
1.2_2C11,MW011,Urban
1.2_2C1,MW015,Urban
1.2_2C2,MW012,Urban
1.2_2C3,MW002,Urban
1.2_2C4,MW031,Urban
1.2_2C5,MW014,Urban
1.2_2C6,MW001,Rural
1.2_2C7,MW029,Urban
1.2_2C8,MW041,Urban
1.2_2C9,MW003,Rural
1.2_2D10,MW049,Urban
1.2_2D11,MW074,Urban
1.2_2D1,MW057,Urban
1.2_2D2,MW072,Urban
1.2_2D3,MW067,Urban
1.2_2D4,MW047,Rural
1.2_2D5,MW028,Urban
1.2_2D6,MW006,Rural
1.2_2D7,MW013,Urban
1.2_2D8,MW031,Urban
1.2_2D9,MW029,Urban
1.2_2E10,MW005,Rural
1.2_2E11,MW047,Rural
1.2_2E1,MW062,Urban
1.2_2E2,MW030,Urban
1.2_2E3,MW061,Urban
1.2_2E4,MW072,Urban
1.2_2E5,MW021,Rural
1.2_2E6,MW027,Urban
1.2_2E7,MW035,Rural
1.2_2E8,MW068,Urban
1.2_2E9,MW039,Urban
1.2_2F10,MW039,Urban
1.2_2F11,MW005,Rural
1.2_2F1,MW079,Urban
1.2_2F2,MW031,Urban
1.2_2F3,MW068,Urban
1.2_2F4,MW047,Rural
1.2_2F5,MW042,Urban
1.2_2F6,MW019,Rural
1.2_2F7,MW046,Rural
1.2_2F8,MW017,Rural
1.2_2F9,MW002,Urban
1.2_2G10,MW064,Urban
1.2_2G1,MW056,Urban
1.2_2G2,MW005,Rural
1.2_2G3,MW074,Urban
1.2_2G4,MW041,Urban
1.2_2G5,MW014,Urban
1.2_2G6,MW057,Urban
1.2_2G7,MW040,Urban
1.2_2G8,MW001,Rural
1.2_2G9,MW079,Urban
1.2_2H10,MW003,Rural
1.2_2H1,MW062,Urban
1.2_2H2,MW057,Urban
1.2_2H3,MW004,Rural
1.2_2H4,MW067,Urban
1.2_2H5,MW072,Urban
1.2_2H6,MW021,Rural
1.2_2H7,MW019,Rural
1.2_2H8,MW014,Urban
1.2_2H9,MW068,Urban
3A_A10,MWI057,Rural
3A_A11,MWI067,Urban
3A_A12,MWI075,Rural
3A_A1,MW018,Rural
3A_A2,MW036,Rural
3A_A3,MW008,Rural
3A_A4,MWI007,Urban
3A_A5,MWI016,Rural
3A_A6,MWI025,Rural
3A_A7,MWI033,Rural
3A_A8,MWI041,Rural
3A_A9,MWI049,Rural
3A_B10,MWI058,Rural
3A_B11,MWI068,Urban
3A_B12,MWI076,Rural
3A_B1,MW026,Urban
3A_B2,MW011,Urban
3A_B3,MW008,Rural
3A_B4,MWI008,Urban
3A_B5,MWI017,Rural
3A_B6,MWI026,Rural
3A_B7,MWI034,Urban
3A_B8,MWI042,Rural
3A_B9,MWI050,Rural
3A_C10,MWI059,Urban
3A_C11,MWI069,Urban
3A_C12,MWI077,Urban
3A_C1,MW061,Urban
3A_C2,MW018,Rural
3A_C3,MW051,Urban
3A_C4,MWI009,Urban
3A_C5,MWI018,Rural
3A_C6,MWI027,Rural
3A_C7,MWI035,Rural
3A_C8,MWI043,Urban
3A_C9,MWI051,Rural
3A_D10,MWI060,Rural
3A_D11,MWI070,Rural
3A_D12,MWI078,Rural
3A_D1,MW015,Urban
3A_D2,MW018,Rural
3A_D3,MW011,Urban
3A_D4,MWI010,Urban
3A_D5,MWI019,Urban
3A_D6,MWI028,Rural
3A_D7,MWI036,Rural
3A_D8,MWI044,Rural
3A_D9,MWI052,Rural
3A_E10,MWI061,Rural
3A_E11,MWI071,Rural
3A_E12,MWI079,Urban
3A_E1,MW015,Urban
3A_E2,MW005,Rural
3A_E3,MWI001,Urban
3A_E4,MWI011,Urban
3A_E5,MWI020,Urban
3A_E6,MWI029,Rural
3A_E7,MWI037,Urban
3A_E8,MWI045,Rural
3A_E9,MWI053,Rural
3A_F10,MWI062,Rural
3A_F11,MWI072,Urban
3A_F12,MWI080,Urban
3A_F1,MW009,Rural
3A_F2,MW036,Rural
3A_F3,MWI003,Urban
3A_F4,MWI014,Urban
3A_F5,MWI022,Urban
3A_F6,MWI030,Rural
3A_F7,MWI038,Urban
3A_F8,MWI046,Rural
3A_F9,MWI054,Rural
3A_G10,MWI063,Rural
3A_G11,MWI073,Rural
3A_G12,UTSC,Urban
3A_G1,MW046,Rural
3A_G2,MW002,Urban
3A_G3,MWI004,Urban
3A_G4,MWI015,Rural
3A_G5,MWI023,Urban
3A_G6,MWI031,Rural
3A_G7,MWI039,Urban
3A_G8,MWI047,Rural
3A_G9,MWI055,Rural
3A_H10,MWI066,Urban
3A_H11,MWI074,Rural
3A_H1,MW046,Rural
3A_H2,MW035,Rural
3A_H3,MWI005,Urban
3A_H5,MWI024,Rural
3A_H6,MWI032,Rural
3A_H7,MWI040,Rural
3A_H8,MWI048,Rural
3A_H9,MWI056,Rural
