"","site_id","patch_id","lat","long","urb_rur","quadrant","river_valley","urb_score","City_dist"
"1","AS005","MW004",43.567334,-79.686386,"Urban",88,"Y",-0.9282644,26.5396859866781
"2","AS022","MW009",43.516263,-79.77922,"Rural",98,"N",-2.37356,35.701894221116
"3","AS023","MW010",43.525816,-79.791571,"Rural",92,"",-3.30879,36.1577518602547
"4","AS025","MW012",43.534585,-79.645432,"Urban",94,"",0.4053,25.2681118797278
"5","AS026","MW013",43.615384,-79.570454,"Urban",88,"Y",2.12016,15.9369812417788
"6","AS028","MW015",43.661177,-79.500382,"Urban",82,"Y",0.148848,9.63737613958796
"7","AS039","MW026",43.719453,-79.445163,"Urban",82,"N",1.69829,8.72565115733648
"8","AS044","MW031",43.713092,-79.515599,"Urban",82,"Y",1.87618,12.5499941861896
"9","AS048","MW035",43.349551,-80.098407,"Rural",102,"",-3.55182,67.2500474239397
"10","AS053","MW040",43.690086,-79.572325,"Urban",81,"Y",1.5481,15.8640513430648
"11","AS055","MW042",43.664067,-79.577284,"Urban",81,"Y",2.65813,15.8386656760841
"12","AS059","MW046",43.343046,-79.959704,"Rural",103,"N",-2.26854,58.3143855323293
"13","AS060","MW047",43.519441,-79.750471,"Rural",93,"",-2.66342,33.4685354488643
"14","AS070","MW057",43.67024,-79.462135,"Urban",82,"N",2.71762,6.72234816456428
"15","AS075","MW062",43.651476,-79.617876,"Urban",81,"Y",0.697666,19.0938744133194
"16","AS077","MW064",43.628807,-79.652009,"Urban",88,"N",1.05287,22.0533186692026
"17","AS079","MW066",43.618104,-79.701542,"Urban",87,"Y",2.15347,26.18012867645
"18","AS085","MW072",43.5789,-79.713398,"Urban",87,"Y",1.55917,28.1480398703139
"19","AS086","MW073",43.554564,-79.756834,"Urban",87,"N",1.95501,32.350827430692
"20","AS090","MW077",43.589966,-79.6183,"Urban",88,"Y",2.03083,20.5069567190536
"21","MWI001","MWI001",43.696621,-79.339394,"Urban",83,"Y",2.22867,5.59366332306605
"22","MWI002","MWI002",43.701735,-79.37955,"Urban",83,"Y",2.88243,5.05597070453033
"23","MWI003","MWI003",43.678804,-79.327437,"Urban",83,"Y",3.55224,4.97964331636986
"24","MWI004","MWI004",43.667106,-79.419649,"Urban",83,"Y",3.84032,3.34296935599211
"25","MWI005","MWI005",43.756455,-79.192428,"Urban",75,"N",2.00856,18.8221979378355
"26","MWI006","MWI006",43.760461,-79.26176,"Urban",75,"N",3.17671,15.0431396619471
"27","MWI007","MWI007",43.802263,-79.256363,"Urban",75,"N",2.35665,19.0861500267138
"28","MWI008","MWI008",43.748469,-79.458981,"Urban",73,"Y",1.37543,12.0287734650311
"29","MWI009","MWI009",43.782991,-79.454069,"Urban",73,"Y",1.26414,15.2795500049525
"30","MWI010","MWI010",43.799587,-79.51854,"Urban",73,"Y",2.03765,19.4142203280872
"31","MWI011","MWI011",43.762289,-79.512796,"Urban",73,"N",2.32439,15.8673884094
"32","MWI012","MWI012",43.73219,-79.556722,"Urban",72,"Y",0.957226,16.4795670694662
"33","MWI013","MWI013",43.706755,-79.639949,"Urban",81,"Y",3.26466,21.5967629368936
"34","MWI014","MWI014",43.685168,-79.366888,"Urban",83,"",0.449664,3.40314322111387
"35","MWI015","MWI015",43.913381,-79.413726,"Rural",46,"N",-1.87694,28.7364398687078
"36","MWI016","MWI016",43.916973,-79.494611,"Rural",45,"",-2.31809,30.4199027936833
"37","MWI017","MWI017",44.028306,-79.537919,"Rural",31,"N",-2.28317,43.2849718924361
"38","MWI018","MWI018",44.028181,-79.600372,"Rural",30,"",-1.93696,44.9889368964558
"39","MWI019","MWI019",43.74483,-79.378727,"Urban",74,"Y",2.25816,9.85366663079765
"40","MWI020","MWI020",43.73091,-79.318052,"Urban",74,"Y",2.13291,9.72237281963039
"41","MWI021","MWI021",43.796696,-79.323165,"Urban",74,"N",3.9573,16.3015310745677
"42","MWI022","MWI022",43.776538,-79.369021,"Urban",74,"Y",1.17732,13.4159383063583
"43","MWI023","MWI023",43.847758,-79.373594,"Urban",61,"Y",2.2599,21.318106611581
"44","MWI024","MWI024",43.261162,-80.061819,"Rural",106,"N",-2.01149,70.4432598072991
"45","MWI025","MWI025",43.263337,-80.168495,"Rural",105,"Y",-2.34585,77.2247632702837
"46","MWI026","MWI026",43.353306,-80.18659,"Rural",101,"N",-2.32439,73.2777408056548
"47","MWI027","MWI027",43.401515,-80.195634,"Rural",95,"",-2.43387,71.6133110119043
"48","MWI028","MWI028",43.416087,-80.122253,"Rural",96,"N",-1.92918,65.5317315620202
"49","MWI029","MWI029",43.442214,-80.03383,"Rural",97,"",-2.38034,57.8205971629922
"50","MWI030","MWI030",43.283129,-79.92699,"Rural",107,"",-1.43459,60.5991224111263
"51","MWI031","MWI031",43.395198,-79.730097,"Rural",99,"",-1.46995,40.4890555884879
"52","MWI032","MWI032",43.836328,-79.875741,"Rural",70,"",-2.02212,44.5538786230159
"53","MWI033","MWI033",43.819848,-79.727826,"Rural",71,"",-0.338702,33.3152669775907
"54","MWI034","MWI034",43.878661,-79.748289,"Rural",58,"N",0.292304,38.5333265788111
"55","MWI035","MWI035",43.870627,-79.91166,"Rural",57,"",-2.3875,48.8858557509815
"56","MWI036","MWI036",43.675637,-79.697509,"Urban",80,"Y",-0.911907,25.5853723384239
"57","MWI037","MWI037",43.500733,-79.645637,"Urban",94,"N",3.452,27.4914456087997
"58","MWI038","MWI038",43.710601,-79.693242,"Urban",80,"N",3.87689,25.85966990554
"59","MWI039","MWI039",43.600179,-79.536769,"Urban",NA,"",3.68742,14.0284421499725
"60","MWI040","MWI040",43.980273,-78.848928,"Rural",50,"",-2.19143,55.9122377141369
"61","MWI041","MWI041",44.018222,-78.9692,"Rural",35,"N",-2.15992,52.1131689320574
"62","MWI042","MWI042",44.118282,-79.000582,"Rural",24,"",-2.27934,59.795406156682
"63","MWI043","MWI043",44.107598,-79.127055,"Rural",23,"N",1.06601,54.2071750955723
"64","MWI044","MWI044",44.0061,-79.101391,"Rural",34,"",-2.51166,44.9429873832776
"65","MWI045","MWI045",43.959786,-79.125122,"Rural",48,"N",-2.08936,39.5395654935466
"66","MWI046","MWI046",43.968138,-78.968182,"Rural",49,"",-0.0572299,47.9998775026405
"67","MWI047","MWI047",43.871102,-78.982515,"Rural",64,"",-0.969024,39.9679171634025
"68","MWI048","MWI048",43.486539,-79.9813686,"Rural",91,"N",-1.6233,51.9865153420784
"69","MWI049","MWI049",43.606387,-80.1263666,"Rural",84,"",-1.43873,60.3202416502362
"70","MWI050","MWI050",43.610169,-80.0385124,"Rural",85,"",-1.56368,53.2318579202424
"71","MWI051","MWI051",43.579539,-79.8801665,"Rural",86,"N",-1.32849,41.1336814448994
"72","MWI052","MWI052",43.668342,-79.855547,"Rural",79,"",-2.3972,38.2467578379576
"73","MWI053","MWI053",43.687299,-79.977056,"Rural",78,"N",-2.48219,48.124620602924
"74","MWI054","MWI054",43.684359,-80.091581,"Rural",77,"",-2.26086,57.3086495759948
"75","MWI055","MWI055",43.782845,-80.080908,"Rural",68,"",-0.396806,58.0522787085732
"76","MWI056","MWI056",43.871554,-80.08388,"Rural",55,"",-2.2991,61.3839225015865
"77","MWI057","MWI057",43.886686,-80.007555,"Rural",56,"",-2.41241,56.524241846012
"78","MWI058","MWI058",43.793817,-80.008945,"Rural",69,"",-2.38077,52.7910140191362
"79","MWI059","MWI059",43.99049,-79.456416,"Rural",32,"",2.81186,37.6899867864442
"80","MWI060","MWI060",44.051921,-79.202519,"Rural",33,"N",-2.02344,46.3069272905392
"81","MWI061","MWI061",43.972752,-79.163005,"Rural",47,"",-2.30838,39.3332273101205
"82","MWI062","MWI062",43.860879,-79.21199,"Urban",62,"N",-1.1344,26.5130729286315
"83","MWI063","MWI063",43.840807,-79.196185,"Urban",62,"Y",-2.41611,25.3452707883199
"84","MWI064","MWI064",43.848008,-79.245759,"Urban",62,"Y",2.09681,23.9456741782825
"85","MWI065","MWI065",43.902086,-79.260261,"Urban",62,"Y",3.18332,29.0253334719823
"86","MWI066","MWI066",43.897731,-79.279555,"Urban",61,"Y",2.66864,28.0805154300735
"87","MWI067","MWI067",43.843859,-79.318895,"Urban",61,"Y",1.19295,21.4632110029845
"88","MWI068","MWI068",43.854548,-79.067414,"Urban",63,"Y",1.14401,33.5002045014196
"89","MWI069","MWI069",43.829329,-79.054091,"Urban",63,"Y",0.933288,32.5836558281346
"90","MWI070","MWI070",43.864346,-79.096966,"Urban",63,"Y",-1.67851,32.5170821337253
"91","MWI071","MWI071",43.848246,-79.12825,"Urban",63,"N",-1.64869,29.4816883692551
"92","MWI072","MWI072",43.809374,-79.122167,"Urban",76,"N",2.43682,26.8959869654167
"93","MWI073","MWI073",43.942697,-79.988265,"Rural",42,"N",-2.1359,58.2889032356364
"94","MWI074","MWI074",43.967519,-79.860387,"Rural",44,"",-1.59796,51.8032736446889
"95","MWI075","MWI075",43.957531,-79.717209,"Rural",43,"",-1.80771,43.0603891658135
"96","MWI076","MWI076",43.996179,-79.597078,"Rural",44,"N",-2.15475,41.6254158204742
"97","MWI077","MWI077",43.821376,-79.581908,"Rural",59,"",0.621214,24.4729346665274
"98","MWI078","MWI078",43.830876,-79.44687,"Urban",60,"Y",-0.96586,20.1419057502053
"99","MWI079","MWI079",43.782727,-79.59178,"Urban",72,"Y",2.80029,22.0414649887138
"100","MWI080","MWI080",43.747842,-79.632628,"Urban",72,"Y",2.37913,22.6754110800203
"101","MWI081","MWI081",43.617969,-79.508823,"Urban",89,"N",4.10926,11.1553253847502
"102","UTSC","UTSC",43.78348333,-79.18972222,"Urban",75,"N",0.861724,20.9032588219513
"103","AS001","MW001",43.550556,-79.663,NA,NA,NA,-1.17377,25.6072117851047
"104","AS002","MW002",43.550225,-79.654062,NA,NA,NA,0.0619652,24.987050922191
"105","AS003","MW003",43.565106,-79.671002,NA,NA,NA,-0.5488855,25.4917782859607
"106","AS010","MW005",43.493329,-79.747541,NA,NA,NA,-2.80108,34.6919910922074
"107","AS014","MW006",43.438669,-79.780878,NA,NA,NA,-0.431062,40.3551125073074
"108","AS017","MW007",43.434493,-79.904435,NA,NA,NA,-3.0900825,48.9308160490192
"109","AS021","MW008",43.457451,-79.866815,NA,NA,NA,-1.67951,45.0190640911002
"110","AS024","MW011",43.589594,-79.638468,NA,NA,NA,2.10156,22.044809923962
"111","AS027","MW014",43.648581,-79.521463,NA,NA,NA,1.74833,11.3539911211033
"112","AS029","MW016",43.711948,-79.535894,NA,NA,NA,0.113649,13.9287929727584
"113","AS030","MW017",43.501061,-79.844567,NA,NA,NA,-0.230729,41.19264328354
"114","AS031","MW018",43.484111,-79.837702,NA,NA,NA,-0.0445896,41.5320035061599
"115","AS032","MW019",43.41401,-79.953028,NA,NA,NA,-3.44897,53.4731891361251
"116","AS033","MW020",43.387612,-79.959232,NA,NA,NA,-3.34998,55.4435483441203
"117","AS034","MW021",43.399222,-79.930576,NA,NA,NA,-3.55627,52.7953944398004
"118","AS035","MW022",43.377146,-79.973861,NA,NA,NA,-3.45963,57.0708592497744
"119","AS036","MW023",43.371308,-79.981819,NA,NA,NA,-3.23351,57.965848752526
"120","AS037","MW024",43.363349,-80.01471,NA,NA,NA,-2.90157,60.6799943238511
"121","AS038","MW025",43.726774,-79.432109,NA,NA,NA,3.09467,8.85924904641448
"122","AS040","MW027",43.726466,-79.445593,NA,NA,NA,0.822976,9.38480336002964
"123","AS041","MW028",43.713472,-79.463271,NA,NA,NA,1.62646,9.18866419885103
"124","AS042","MW029",43.713584,-79.475768,NA,NA,NA,1.68161,9.94702200379316
"125","AS043","MW030",43.71387,-79.505919,NA,NA,NA,0.942832,11.9294361220938
"126","AS045","MW032",43.66963,-79.498027,NA,NA,NA,1.9821,9.54746298971845
"127","AS046","MW033",43.358912,-80.043033,NA,NA,NA,-3.23043,62.8806509103204
"128","AS047","MW034",43.357422,-80.052572,NA,NA,NA,-3.48661,63.6238543019205
"129","AS049","MW036",43.321018,-80.049313,NA,NA,NA,-3.25583,65.630649050805
"130","AS050","MW037",43.702158,-79.543737,NA,NA,NA,0.219585,14.0671690528913
"131","AS051","MW038",43.701032,-79.549473,NA,NA,NA,1.49438,14.4549770575458
"132","AS052","MW039",43.701432,-79.56251,NA,NA,NA,2.30737,15.4589940728025
"133","AS054","MW041",43.675131,-79.571575,NA,NA,NA,0.524692,15.4960628619836
"134","AS056","MW043",43.32296,-80.038276,NA,NA,NA,-3.1006,64.7746636756663
"135","AS057","MW044",43.330042,-79.995566,NA,NA,NA,-3.07271,61.5079307080729
"136","AS058","MW045",43.335538,-79.962974,NA,NA,NA,-2.92002,59.0303809861202
"137","AS061","MW048",43.530493,-79.738194,NA,NA,NA,-2.76803,32.0311492805589
"138","AS062","MW049",43.534939,-79.732912,NA,NA,NA,0.2286,31.4318593230486
"139","AS063","MW050",43.535065,-79.721652,NA,NA,NA,0.92133,30.6085218198681
"140","AS064","MW051",43.669676,-79.422881,NA,NA,NA,2.67139,3.69260866191731
"141","AS065","MW052",43.680726,-79.411251,NA,NA,NA,0.342993,3.65354406837996
"142","AS066","MW053",43.691138,-79.427943,NA,NA,NA,1.81695,5.41857185489891
"143","AS067","MW054",43.67876,-79.431977,NA,NA,NA,3.17675,4.81140388831811
"144","AS068","MW055",43.674579,-79.446438,NA,NA,NA,2.4063,5.6548603206823
"145","AS069","MW056",43.671068,-79.452408,NA,NA,NA,2.24942,5.98740587556773
"146","AS071","MW058",43.671812,-79.474258,NA,NA,NA,2.33711,7.71275968942053
"147","AS072","MW059",43.670454,-79.482484,NA,NA,NA,2.36447,8.32997475936821
"148","AS073","MW060",43.646988,-79.583587,NA,NA,NA,2.21586,16.358206604022
"149","AS074","MW061",43.654607,-79.607519,NA,NA,NA,0.644411,18.2525904969499
"150","AS076","MW063",43.63776,-79.635241,NA,NA,NA,0.627215,20.5911840985211
"151","AS078","MW065",43.626304,-79.673743,NA,NA,NA,1.99176,23.8263898906363
"152","AS080","MW067",43.613475,-79.705867,NA,NA,NA,3.37284,26.6125138912041
"153","AS081","MW068",43.595802,-79.719547,NA,NA,NA,1.16536,28.1071525454643
"154","AS082","MW069",43.553597,-79.699608,NA,NA,NA,1.41576,28.1203606988092
"155","AS083","MW070",43.571026,-79.733337,NA,NA,NA,3.02269,29.9498682493043
"156","AS084","MW071",43.564655,-79.720469,NA,NA,NA,1.56034,29.2096546494702
