sample,population
1.2_1A10,67
1.2_1A11,79
1.2_1A1,40
1.2_1A2,47
1.2_1A3,2
1.2_1A4,12
1.2_1A5,13
1.2_1A6,36
1.2_1A7,18
1.2_1A8,30
1.2_1A9,20
1.2_1B10,28
1.2_1B11,13
1.2_1B1,19
1.2_1B2,4
1.2_1B3,30
1.2_1B4,21
1.2_1B5,17
1.2_1B6,51
1.2_1B7,7
1.2_1B8,56
1.2_1B9,57
1.2_1C10,27
1.2_1C11,7
1.2_1C1,30
1.2_1C2,49
1.2_1C3,77
1.2_1C4,17
1.2_1C5,39
1.2_1C6,1
1.2_1C7,7
1.2_1C8,12
1.2_1C9,47
1.2_1D10,1
1.2_1D11,79
1.2_1D1,6
1.2_1D2,77
1.2_1D3,72
1.2_1D4,23
1.2_1D5,36
1.2_1D6,62
1.2_1D7,62
1.2_1D8,57
1.2_1D9,6
1.2_1E10,49
1.2_1E11,45
1.2_1E1,49
1.2_1E2,79
1.2_1E3,56
1.2_1E4,7
1.2_1E5,36
1.2_1E6,1
1.2_1E7,19
1.2_1E8,16
1.2_1E9,4
1.2_1F10,39
1.2_1F1,46
1.2_1F2,12
1.2_1F3,46
1.2_1F4,4
1.2_1F5,61
1.2_1F6,17
1.2_1F7,68
1.2_1F8,29
1.2_1F9,77
1.2_1G10,77
1.2_1G1,6
1.2_1G2,14
1.2_1G4,21
1.2_1G5,2
1.2_1G6,42
1.2_1G7,7
1.2_1G8,67
1.2_1G9,27
1.2_1H10,3
1.2_1H1,31
1.2_1H2,15
1.2_1H3,40
1.2_1H4,9
1.2_1H5,12
1.2_1H6,17
1.2_1H7,67
1.2_1H8,11
1.2_1H9,64
1.2_2A10,3
1.2_2A11,18
1.2_2A1,77
1.2_2A2,69
1.2_2A3,35
1.2_2A4,4
1.2_2A5,8
1.2_2A6,62
1.2_2A7,21
1.2_2A8,5
1.2_2A9,31
1.2_2B10,69
1.2_2B11,14
1.2_2B1,35
1.2_2B2,72
1.2_2B3,64
1.2_2B4,68
1.2_2B5,6
1.2_2B6,49
1.2_2B7,74
1.2_2B8,39
1.2_2B9,40
1.2_2C11,11
1.2_2C1,15
1.2_2C2,12
1.2_2C3,2
1.2_2C4,31
1.2_2C5,14
1.2_2C6,1
1.2_2C7,29
1.2_2C8,41
1.2_2C9,3
1.2_2D10,49
1.2_2D11,74
1.2_2D1,57
1.2_2D2,72
1.2_2D3,67
1.2_2D4,47
1.2_2D5,28
1.2_2D6,6
1.2_2D7,13
1.2_2D8,31
1.2_2D9,29
1.2_2E10,5
1.2_2E11,47
1.2_2E1,62
1.2_2E2,30
1.2_2E3,61
1.2_2E4,72
1.2_2E5,21
1.2_2E6,27
1.2_2E7,35
1.2_2E8,68
1.2_2E9,39
1.2_2F10,39
1.2_2F11,5
1.2_2F1,79
1.2_2F2,31
1.2_2F3,68
1.2_2F4,47
1.2_2F5,42
1.2_2F6,19
1.2_2F7,46
1.2_2F8,17
1.2_2F9,2
1.2_2G10,64
1.2_2G1,56
1.2_2G2,5
1.2_2G3,74
1.2_2G4,41
1.2_2G5,14
1.2_2G6,57
1.2_2G7,40
1.2_2G8,1
1.2_2G9,79
1.2_2H10,3
1.2_2H1,62
1.2_2H2,57
1.2_2H3,4
1.2_2H4,67
1.2_2H5,72
1.2_2H6,21
1.2_2H7,19
1.2_2H8,14
1.2_2H9,68
3A_A10,MWI057
3A_A11,MWI067
3A_A12,MWI075
3A_A1,18
3A_A2,36
3A_A3,8
3A_A4,MWI007
3A_A5,MWI016
3A_A6,MWI025
3A_A7,MWI033
3A_A8,MWI041
3A_A9,MWI049
3A_B10,MWI058
3A_B11,MWI068
3A_B12,MWI076
3A_B1,26
3A_B2,11
3A_B3,8
3A_B4,MWI008
3A_B5,MWI017
3A_B6,MWI026
3A_B7,MWI034
3A_B8,MWI042
3A_B9,MWI050
3A_C10,MWI059
3A_C11,MWI069
3A_C12,MWI077
3A_C1,61
3A_C2,18
3A_C3,51
3A_C4,MWI009
3A_C5,MWI018
3A_C6,MWI027
3A_C7,MWI035
3A_C8,MWI043
3A_C9,MWI051
3A_D10,MWI060
3A_D11,MWI070
3A_D12,MWI078
3A_D1,15
3A_D2,18
3A_D3,11
3A_D4,MWI010
3A_D5,MWI019
3A_D6,MWI028
3A_D7,MWI036
3A_D8,MWI044
3A_D9,MWI052
3A_E10,MWI061
3A_E11,MWI071
3A_E12,MWI079
3A_E1,15
3A_E2,5
3A_E3,MWI001
3A_E4,MWI011
3A_E5,MWI020
3A_E6,MWI029
3A_E7,MWI037
3A_E8,MWI045
3A_E9,MWI053
3A_F10,MWI062
3A_F11,MWI072
3A_F12,MWI080
3A_F1,9
3A_F2,36
3A_F3,MWI003
3A_F4,MWI014
3A_F5,MWI022
3A_F6,MWI030
3A_F7,MWI038
3A_F8,MWI046
3A_F9,MWI054
3A_G10,MWI063
3A_G11,MWI073
3A_G12,UTSC
3A_G1,46
3A_G2,2
3A_G3,MWI004
3A_G4,MWI015
3A_G5,MWI023
3A_G6,MWI031
3A_G7,MWI039
3A_G8,MWI047
3A_G9,MWI055
3A_H10,MWI066
3A_H11,MWI074
3A_H1,46
3A_H2,35
3A_H3,MWI005
3A_H5,MWI024
3A_H6,MWI032
3A_H7,MWI040
3A_H8,MWI048
3A_H9,MWI056
