Population ID,Latitude,Longitude,Date Visited,Notes,Lat/Long Combined,Dist_city_center_km_Yonge_Bloor,Pods Present?,Rural/Urban,Quadrant,Seeds collected (notes),Seeds OR leaves collected (Y/N),"Seeds collected (No=0, Yes=1)",# Seeds collected (0-5),"Leaves collected (No=0, Yes=1)",# Leaves collected (0-5),Milkweed Beetle (Tetraopes tetrophthalmus),monarch ,aphid (Aphis nerii),weevil (Rhyssomatus),other,Notes
AS005,43.566504,-79.680149,7/9/2018,,,16.47,Not recorded,Urban,88,x,Y,1,,1,,,4,,,,
AS022,43.516263,-79.77922,7/10/2018,,,22.16,Not recorded,Rural,98,2 plants only,Y,1,,1,,,,,,,
AS023,43.525816,-79.791571,7/12/2018,,,22.44,Not recorded,Rural,92,no (leaves coll),Y,0,,1,,,,,,,
AS025,43.534585,-79.645432,7/12/2018,,,15.68,Y,Urban,94,x,Y,1,,1,,,4,,,,
AS026,43.615384,-79.570454,7/12/2018,,,9.89,Y,Urban,88,x,Y,1,,1,,1,,,1,,
AS028,43.661177,-79.500382,7/12/2018,,,5.98,Y,Urban,82,x,Y,1,,1,,1,2,,,,
AS039,43.719453,-79.445163,7/16/2018,,,5.42,Y,Urban,82,2 plants only,Y,1,,1,,,1,,,,
AS044,43.713092,-79.515599,7/16/2018,,,7.79,Y,Urban,82,x,Y,1,,1,,1,1,x,,,
AS048,43.349551,-80.098407,7/17/2018,,,41.74,Y,Rural,102,x,Y,1,,1,,3,,,,,
AS053,43.690086,-79.572325,7/23/2018,,,9.85,Y,Urban,81,x,Y,1,,1,,4,4,x,,,
AS055,43.664067,-79.577284,7/23/2018,,,9.83,Y,Urban,81,2 plants only,Y,1,,1,,1,2,,,,
AS059,43.343046,-79.959704,7/24/2018,,,36.19,Y,Rural,103,x,Y,1,,1,,16,2,x,8,,
AS060,43.519441,-79.750471,7/24/2018,,,20.77,Y,Rural,93,x,Y,1,,1,,2,1,x,5,,
AS070,43.67024,-79.462135,7/25/2018,,,4.17,Y,Urban,82,x,Y,1,,1,,1,6,x,,,
AS075,43.651476,-79.617876,7/27/2018,,,11.85,N,Urban,81,x,Y,1,,1,,,8,,,,
AS077,43.651476,-79.617876,7/27/2018,,,13.69,Y,Urban,88,x,Y,1,,1,,7,1,,3,,
AS079,43.618104,-79.701542,7/27/2018,,,16.25,Y,Urban,87,no milkweed seen- mowed?,N,0,,0,,3,6,,,,
AS085,43.5789,-79.713398,7/30/2018,,,17.47,Y,Urban,87,x,Y,1,,1,,,4,,,,
AS086,43.554564,-79.756834,7/30/2018,,,20.08,N,Urban,87,no one home,N,0,,0,,,1,,,,
AS090,43.589966,-79.6183,7/30/2018,,,12.73,N,Urban,88,x,Y,1,,1,,,3,,,,
MWI001,43.696621,-79.339394,8/2/2018,40+ plants in median. Planted?,"43.696621, -79.339394",3.47,Y,Urban,83,x,Y,1,,1,,,,,,,
MWI002,43.701735,-79.37955,8/2/2018,Few insects collected (1).,"43.701735, -79.379550",3.14,Y,Urban,83,"No one home at waypoint and plants had been mowed so only young plants w/o pods left. However, saw a few plants w/pods at 30 Forsyth Crescent, though no one answered the door.",N,0,,0,,,,,,,
MWI003,43.678804,-79.327437,8/2/2018,,"43.678804, -79.327437",3.09,Y,Urban,83,x,Y,1,,1,,,3,,,,
MWI004,43.667106,-79.419649,8/3/2018,,"43.667106, -79.419649",2.07,Y,Urban,83,No plants with pods left- obtained 5 leaves,Y,0,,1,,,1,x,,,
MWI005,43.756455,-79.192428,8/3/2018,Plants near RR tracks with pods. 10+ plants.,"43.756455, -79.192428",11.68,Y,Urban,75,"Couldn't find any with pods, collected only leaves",Y,0,,1,,,5,,,,
