Population ID,Latitude,Longitude,Dist_city_center_km_Yonge_Bloor,Reference_lat,Reference_long
AS005,43.567334,-79.686386,16.47,43.656327,-79.380904
AS022,43.516263,-79.77922,22.16,,
AS023,43.525816,-79.791571,22.44,,
AS025,43.534585,-79.645432,15.68,,
AS026,43.615384,-79.570454,9.89,,
AS028,43.661177,-79.500382,5.98,,
AS039,43.719453,-79.445163,5.42,,
AS044,43.713092,-79.515599,7.79,,
AS048,43.349551,-80.098407,41.74,,
AS053,43.690086,-79.572325,9.85,,
AS055,43.664067,-79.577284,9.83,,
AS059,43.343046,-79.959704,36.19,,
AS060,43.519441,-79.750471,20.77,,
AS070,43.67024,-79.462135,4.17,,
AS075,43.651476,-79.617876,11.85,,
AS077,43.628807,-79.652009,13.69,,
AS079,43.618104,-79.701542,16.25,,
AS085,43.5789,-79.713398,17.47,,
AS086,43.554564,-79.756834,20.08,,
AS090,43.589966,-79.6183,12.73,,
MWI001,43.696621,-79.339394,3.47,,
MWI002,43.701735,-79.37955,3.14,,
MWI003,43.678804,-79.327437,3.09,,
MWI004,43.667106,-79.419649,2.07,,
MWI005,43.756455,-79.192428,11.68,,
MWI006,43.760461,-79.26176,9.34,,
MWI007,43.802263,-79.256363,11.85,,
MWI008,43.748469,-79.458981,7.47,,
MWI009,43.782991,-79.454069,9.48,,
MWI010,43.799587,-79.51854,12.05,,
MWI011,43.762289,-79.512796,9.85,,
MWI012,43.73219,-79.556722,10.23,,
MWI013,43.706755,-79.639949,13.40,,
MWI014,43.685168,-79.366888,2.11,,
MWI015,43.913381,-79.413726,17.84,,
MWI016,43.916973,-79.494611,18.88,,
MWI017,44.028306,-79.537919,26.87,,
MWI018,44.028181,-79.600372,27.92,,
MWI019,43.74483,-79.378727,6.12,,
MWI020,43.73091,-79.318052,6.03,,
MWI021,43.796696,-79.323165,10.12,,
MWI022,43.776538,-79.369021,8.33,,
MWI023,43.847758,-79.373594,13.23,,
MWI024,43.261162,-80.061819,43.72,,
MWI025,43.263337,-80.168495,47.93,,
MWI026,43.353306,-80.18659,45.48,,
MWI027,43.401515,-80.195634,44.45,,
MWI028,43.416087,-80.122253,40.67,,
MWI029,43.442214,-80.03383,35.89,,
MWI030,43.283129,-79.92699,37.61,,
MWI031,43.395198,-79.730097,25.13,,
MWI032,43.836328,-79.875741,27.65,,
MWI033,43.819848,-79.727826,20.68,,
MWI034,43.878661,-79.748289,23.92,,
MWI035,43.870627,-79.91166,30.34,,
MWI036,43.675637,-79.697509,15.88,,
MWI037,43.500733,-79.645637,17.06,,
MWI038,43.710601,-79.693242,16.05,,
MWI039,43.600179,-79.536769,8.71,,
MWI040,43.980273,-78.848928,34.70,,
MWI041,44.018222,-78.9692,32.35,,
MWI042,44.118282,-79.000582,37.11,,
MWI043,44.107598,-79.127055,33.65,,
MWI044,44.0061,-79.101391,27.90,,
MWI045,43.959786,-79.125122,24.54,,
MWI046,43.968138,-78.968182,29.79,,
MWI047,43.871102,-78.982515,24.81,,
MWI048,43.486539,-79.9813686,32.27,,
MWI049,43.606387,-80.1263666,37.44,,
MWI050,43.610169,-80.0385124,33.04,,
MWI051,43.579539,-79.8801665,25.53,,
MWI052,43.668342,-79.855547,23.74,,
MWI053,43.687299,-79.977056,29.87,,
MWI054,43.684359,-80.091581,35.57,,
MWI055,43.782845,-80.080908,36.03,,
MWI056,43.871554,-80.08388,38.10,,
MWI057,43.886686,-80.007555,35.08,,
MWI058,43.793817,-80.008945,32.77,,
MWI059,43.99049,-79.456416,23.39,,
MWI060,44.051921,-79.202519,28.74,,
MWI061,43.972752,-79.163005,24.41,,
MWI062,43.860879,-79.21199,16.46,,
MWI063,43.840807,-79.196185,15.73,,
MWI064,43.848008,-79.245759,14.86,,
MWI065,43.902086,-79.260261,18.02,,
MWI066,43.897731,-79.279555,17.43,,
MWI067,43.843859,-79.318895,13.32,,
MWI068,43.854548,-79.067414,20.79,,
MWI069,43.829329,-79.054091,20.22,,
MWI070,43.864346,-79.096966,20.18,,
MWI071,43.848246,-79.12825,18.30,,
MWI072,43.809374,-79.122167,16.69,,
MWI073,43.942697,-79.988265,36.18,,
MWI074,43.967519,-79.860387,32.15,,
MWI075,43.957531,-79.717209,26.73,,
MWI076,43.996179,-79.597078,25.84,,
MWI077,43.821376,-79.581908,15.19,,
MWI078,43.830876,-79.44687,12.50,,
MWI079,43.782727,-79.59178,13.68,,
MWI080,43.747842,-79.632628,14.07,,
MWI081,43.617969,-79.508823,6.92,,
UTSC,43.78348333,-79.18972222,12.97,,
