Population ID,Date Visited,Latitude,Longitude,Notes,Lat/Long Combined,Pods Present?,Rural/Urban,Quadrant,Seeds collected (notes),Seeds OR leaves collected (Y/N),"Seeds collected (No=0, Yes=1)",# Seeds collected (0-5),"Leaves collected (No=0, Yes=1)",# Leaves collected (0-5),Milkweed Beetle (Tetraopes tetrophthalmus),monarch ,aphid (Aphis nerii),weevil (Rhyssomatus),other,Notes
AS022,7/10/2018,43.516263,-79.77922,,,Not recorded,Rural,98,2 plants only,Y,1,,1,,,,,,,
AS039,7/16/2018,43.719453,-79.445163,,,Y,Urban,82,2 plants only,Y,1,,1,,,1,,,,
AS055,7/23/2018,43.664067,-79.577284,,,Y,Urban,81,2 plants only,Y,1,,1,,1,2,,,,
MWI013,8/7/2018,43.706755,-79.639949,2 small pods at waypoint. Population extends along trail. More plants with pods 100m east on trail leading into river bank. Weevil damage seen.,"43.706755, -79.639949",Y,Urban,81,2 plants only  ,Y,1,,1,,,7,,,,
MWI026,8/14/2018,43.353306,-80.186590,"With pods, weevil and monarch damage","43.353306, -80.186590",Y,Rural,101,"3 collected, 1 other plant present with seeds but not ripe",Y,1,,1,,,,,,,
MWI024,8/14/2018,43.261162,-80.061819,Many pods on southern end of population,"43.261162, -80.061819",Y,Rural,106,"5 seeds, 4 parents (one had no leaves)",Y,1,,1,,5,1,,,,
MWI025,8/14/2018,43.263337,-80.168495,Many pods alongside field,"43.263337, -80.168495",Y,Rural,105,"5 seeds, 4 parents (one had no leaves)",Y,1,,1,,,1,,,,
MWI028,8/14/2018,43.416087,-80.122253,"All along train tracks, many plants with pods","43.416087, -80.122253",Y,Rural,96,"5 seeds, 4 parents (one had no leaves)",Y,1,,1,,,1,,,,
AS023,7/12/2018,43.525816,-79.791571,,,Not recorded,Rural,92,no (leaves coll),Y,0,,1,,,,,,,
AS079,7/27/2018,43.618104,-79.701542,,,Y,Urban,87,no milkweed seen- mowed?,N,0,,0,,3,6,,,,
AS086,7/30/2018,43.554564,-79.756834,,,N,Urban,87,no one home,N,0,,0,,,1,,,,
MWI081,8/29/2018,43.617969,-79.508823,With pods. Front yard of 53 Ourland,"43.617969, -79.508823",Y,Urban,89,no one home,N,0,,0,,,,,,,
MWI002,8/2/2018,43.701735,-79.379550,Few insects collected (1).,"43.701735, -79.379550",Y,Urban,83,"No one home at waypoint and plants had been mowed so only young plants w/o pods left. However, saw a few plants w/pods at 30 Forsyth Crescent, though no one answered the door.",N,0,,0,,,,,,,
MWI012,8/7/2018,43.732190,-79.556722,No insects collected because few seen and neither neighbor home. Many pods.,"43.732190, -79.556722",Y,Urban,72,No. The owner cut them all down,N,0,,0,,,,,,,
MWI027,8/14/2018,43.401515,-80.195634,With pods. Both sides of road. Side with water has more bugs and damage. Weevil damage on water side too,"43.401515, -80.195634",Y,Rural,95,Seeds and only one parent,Y,1,,1,,,3,x,,,
AS005,7/9/2018,43.566504,-79.680149,,,Not recorded,Urban,88,x,Y,1,,1,,,4,,,,
AS025,7/12/2018,43.534585,-79.645432,,,Y,Urban,94,x,Y,1,,1,,,4,,,,
AS026,7/12/2018,43.615384,-79.570454,,,Y,Urban,88,x,Y,1,,1,,1,,,1,,
AS028,7/12/2018,43.661177,-79.500382,,,Y,Urban,82,x,Y,1,,1,,1,2,,,,
AS044,7/16/2018,43.713092,-79.515599,,,Y,Urban,82,x,Y,1,,1,,1,1,x,,,
AS048,7/17/2018,43.349551,-80.098407,,,Y,Rural,102,x,Y,1,,1,,3,,,,,
AS053,7/23/2018,43.690086,-79.572325,,,Y,Urban,81,x,Y,1,,1,,4,4,x,,,
AS059,7/24/2018,43.343046,-79.959704,,,Y,Rural,103,x,Y,1,,1,,16,2,x,8,,
AS060,7/24/2018,43.519441,-79.750471,,,Y,Rural,93,x,Y,1,,1,,2,1,x,5,,
AS070,7/25/2018,43.67024,-79.462135,,,Y,Urban,82,x,Y,1,,1,,1,6,x,,,
AS075,7/27/2018,43.651476,-79.617876,,,N,Urban,81,x,Y,1,,1,,,8,,,,
AS077,7/27/2018,43.651476,-79.617876,,,Y,Urban,88,x,Y,1,,1,,7,1,,3,,
AS085,7/30/2018,43.578900,-79.713398,,,Y,Urban,87,x,Y,1,,1,,,4,,,,
AS090,7/30/2018,43.589966,-79.618300,,,N,Urban,88,x,Y,1,,1,,,3,,,,
MWI001,8/2/2018,43.696621,-79.339394,40+ plants in median. Planted?,"43.696621, -79.339394",Y,Urban,83,x,Y,1,,1,,,,,,,
MWI003,8/2/2018,43.678804,-79.327437,,"43.678804, -79.327437",Y,Urban,83,x,Y,1,,1,,,3,,,,
MWI008,8/7/2018,43.748469,-79.458981,,"43.748469, -79.458981",Y,Urban,73,X,Y,1,,1,,4,8,,,,
MWI010,8/7/2018,43.799587,-79.518540,,"43.799587, -79.518540",Y,Urban,73,x,Y,1,,1,,,5,,,,
MWI011,8/7/2018,43.762289,-79.512796,Pods present south on trail. Weevil damage present.,"43.762289, -79.512796",Y,Urban,73,X,Y,1,,1,,,2,x,,,
MWI014,8/9/2018,43.685168,-79.366888,"At Evergreen Brickworks. With pods, around park.
10 plants near stoplight across street.","43.685168, -79.366888",Y,Urban,83,x,Y,1,,1,,1,,x,,,
