"","Year_and_Population"
"1","1605
      441"
"2","1606"
"3","1607"
"4","1608
      282"
"5","1609"
"6","1610"
"7","1611"
"8","1612"
"9","1613
      10,0623"
"10","1614"
"11","1615"
"12","1616"
"13","1617"
"14","1618"
"15","1619"
"16","1620
      602"
"17","1621"
"18","1622
      324"
"19","1623"
"20","1624"
"21","1625"
"22","1626"
"23","1627"
"24","1628
      765"
"25","1629
      1172"
"26","1630"
"27","1631"
"28","1632"
"29","1633"
"30","1634"
"31","1635
        "
"32","1636
        "
"33","1637"
"34","1638"
"35","1639"
"36","1640"
"37","1641
      2405"
"38","1642"
"39","1643"
"40","1644"
"41","1645
        "
"42","1646"
"43","1647
        "
"44","1648"
"45","1649"
"46","1650"
"47","1651"
"48","1652"
"49","1653
      2,0005"
"50","1654"
"51","1655"
"52","1656"
"53","1657"
"54","1658"
"55","1659"
"56","1660
        "
"57","1661"
"58","1662"
"59","1663
      2,5005"
"60","1664"
"61","1665
      3,2155"
"62","1666"
"63","1667
      3,9185"
"64","1668
      6,2825"
"65","1669"
"66","1670"
"67","1671
      5146"
"68","1672"
"69","1673
      6,7687"
"70","1674"
"71","1675
      7,8325"
"72","1676
      8,4155"
"73","1677"
"74","1678"
"75","1680
      10,6799 "
"76","1681
      9,6775"
"77","1682"
"78","1683
      10,2515"
"79","1684"
"80","1685
      12,2639"
"81","1686
      13,2588"
"82","1687
      66310"
"83","1688
      11,5625"
"84","1689"
"85","1690"
"86","1691
      15510"
"87","1692
      12,8087"
"88","1693
      1,00911"
"89","1694"
"90","1695
      13,68812"
"91","1696
      2,32113"
"92","1697"
"93","1698
      17,83214"
"94","1699"
"95","1700"
"96","1701
      1,13411"
"97","1703
      1,24411"
"98","1705
      52010 "
"99","1706
      16,4175"
"100","1707
      18,6888"
"101","1708"
"102","1709"
"103","1710"
"104","1711
      22510"
"105","1712
      18,4405"
"106","171318,1195"
"107","1714
      20,7378"
"108","1715"
"109","1716
      20,5315"
"110","1717"
"111","1718
      22,9835"
"112","1719
      22,5305"
"113","1720
      24,53415"
"114","1721
      24,9515"
"115","1722
      25,0535"
"116","1723
      26,4795"
"117","1724
      26,7105"
"118","1725"
"119","1726
      29,3965"
"120","172730,6135"
"121","1728
      33016"
"122","1729"
"123","1730
      33,6825"
"124","1731
      6,00011"
"125","173235,1645"
"126","1733
      11117"
"127","1734
      37,7165"
"128","1735
      54116"
"129","1736
      39,0635"
"130","1737
      126,94318"
"131","1738"
"132","1739
      42,81712"
"133","1740"
"134","1741
      6,00013"
"135","1742"
"136","1743"
"137","1744"
"138","1745
        "
"139","1746"
"140","1747"
"141","1748"
"142","1749
      18,54419"
"143","1750"
"144","1751"
"145","1752
      21,37820"
"146","1753
      13,0004"
"147","175455,0095"
"148","1755
      23,50019"
"149","1756"
"150","1757"
"151","175810,70021 "
"152","1759"
"153","1760
      70,0005"
"154","1761"
"155","1762
      8,10422"
"156","1763
      78,88023"
"157","1764
      12,99824"
"158","1765
      89,74925"
"159","1766"
"160","1767
      11,77924"
"161","1768"
"162","1769"
"163","1770"
"164","1771844221 "
"165","1772
      19,98526"
"166","1773"
"167","1774"
"168","1775
      90,00027"
"169","1776
        "
"170","1777"
"171","1778"
"172","1779"
"173","1780"
"174","178112,00022"
"175","1782"
"176","1783"
"177","1784
      166,01228"
"178","1785
      10,2444"
"179","1786"
"180","1787"
"181","1788"
"182","1789"
"183","1790
      191,31128"
"184","1791"
"185","1792"
"186","1793
      2,00029"
"187","1794"
"188","1795"
"189","1796"
"190","1797
      4,50016"
"191","1798"
"192","1799"
"193","1800"
"194","1801
        "
"195","1802"
"196","1803"
"197","1804"
"198","1805"
"199","1806
      391,89930"
"200","1807
      65,00024"
"201","1808"
"202","1809"
"203","1810"
"204","1811
      77,00031"
"205","1812"
"206","1813"
"207","1814
      430,00032"
"208","1815"
"209","1816
      52,6724"
"210","1817
      81,35124"
