Site_ID,Patch_ID,lat,long,Urb_Rur,Updated_latlong,Updated_urbrural,Incorrect_outdated_Urb_Rur,Quadrant,River_Valley
AS005,MW004,43.567334,-79.686386,Urban,Y,N,Urban,88,Y
AS022,MW009,43.516263,-79.77922,Rural,N,N,Rural,98,N
AS023,MW010,43.525816,-79.791571,Rural,N,N,Rural,92,
AS025,MW012,43.534585,-79.645432,Urban,N,N,Urban,94,
AS026,MW013,43.615384,-79.570454,Urban,N,N,Urban,88,Y
AS028,MW015,43.661177,-79.500382,Urban,N,N,Urban,82,Y
AS039,MW026,43.719453,-79.445163,Urban,N,N,Urban,82,N
AS044,MW031,43.713092,-79.515599,Urban,N,N,Urban,82,Y
AS048,MW035,43.349551,-80.098407,Rural,N,N,Rural,102,
AS053,MW040,43.690086,-79.572325,Urban,N,N,Urban,81,Y
AS055,MW042,43.664067,-79.577284,Urban,N,N,Urban,81,Y
AS059,MW046,43.343046,-79.959704,Rural,N,N,Rural,103,N
AS060,MW047,43.519441,-79.750471,Rural,N,N,Rural,93,
AS070,MW057,43.67024,-79.462135,Urban,N,N,Urban,82,N
AS075,MW062,43.651476,-79.617876,Urban,N,N,Urban,81,Y
AS077,MW064,43.628807,-79.652009,Urban,Y,N,Urban,88,N
AS079,MW066,43.618104,-79.701542,Urban,N,N,Urban,87,Y
AS085,MW072,43.5789,-79.713398,Urban,N,N,Urban,87,Y
AS086,MW073,43.554564,-79.756834,Urban,N,N,Urban,87,N
AS090,MW077,43.589966,-79.6183,Urban,N,N,Urban,88,Y
MWI001,MWI001,43.696621,-79.339394,Urban,N,N,Urban,83,Y
MWI002,MWI002,43.701735,-79.37955,Urban,N,N,Urban,83,Y
MWI003,MWI003,43.678804,-79.327437,Urban,N,N,Urban,83,Y
MWI004,MWI004,43.667106,-79.419649,Urban,N,N,Urban,83,Y
MWI005,MWI005,43.756455,-79.192428,Urban,N,N,Urban,75,N
MWI006,MWI006,43.760461,-79.26176,Urban,N,N,Urban,75,N
MWI007,MWI007,43.802263,-79.256363,Urban,N,N,Urban,75,N
MWI008,MWI008,43.748469,-79.458981,Urban,N,N,Urban,73,Y
MWI009,MWI009,43.782991,-79.454069,Urban,N,N,Urban,73,Y
MWI010,MWI010,43.799587,-79.51854,Urban,N,N,Urban,73,Y
MWI011,MWI011,43.762289,-79.512796,Urban,N,N,Urban,73,N
MWI012,MWI012,43.73219,-79.556722,Urban,N,N,Urban,72,Y
MWI013,MWI013,43.706755,-79.639949,Urban,N,N,Urban,81,Y
MWI014,MWI014,43.685168,-79.366888,Urban,N,N,Urban,83,
MWI015,MWI015,43.913381,-79.413726,Rural,N,N,Rural,46,N
MWI016,MWI016,43.916973,-79.494611,Rural,N,N,Rural,45,
MWI017,MWI017,44.028306,-79.537919,Rural,N,N,Rural,31,N
MWI018,MWI018,44.028181,-79.600372,Rural,N,N,Rural,30,
MWI019,MWI019,43.74483,-79.378727,Urban,N,N,Urban,74,Y
MWI020,MWI020,43.73091,-79.318052,Urban,N,N,Urban,74,Y
MWI021,MWI021,43.796696,-79.323165,Urban,N,N,Urban,74,N
MWI022,MWI022,43.776538,-79.369021,Urban,N,N,Urban,74,Y
MWI023,MWI023,43.847758,-79.373594,Urban,N,N,Urban,61,Y
MWI024,MWI024,43.261162,-80.061819,Rural,N,N,Rural,106,N
MWI025,MWI025,43.263337,-80.168495,Rural,N,N,Rural,105,Y
MWI026,MWI026,43.353306,-80.18659,Rural,N,N,Rural,101,N
MWI027,MWI027,43.401515,-80.195634,Rural,N,N,Rural,95,
MWI028,MWI028,43.416087,-80.122253,Rural,N,N,Rural,96,N
MWI029,MWI029,43.442214,-80.03383,Rural,N,N,Rural,97,
MWI030,MWI030,43.283129,-79.92699,Rural,N,N,Rural,107,
MWI031,MWI031,43.395198,-79.730097,Rural,N,N,Rural,99,
MWI032,MWI032,43.836328,-79.875741,Rural,N,N,Rural,70,
MWI033,MWI033,43.819848,-79.727826,Rural,N,N,Rural,71,
