Site_ID,Patch_ID,lat,long,Urb_score
AS005,MW004,43.567334,-79.686386,-0.9282644
AS022,MW009,43.516263,-79.77922,-2.37356
AS023,MW010,43.525816,-79.791571,-3.30879
AS025,MW012,43.534585,-79.645432,0.4053
AS026,MW013,43.615384,-79.570454,2.12016
AS028,MW015,43.661177,-79.500382,0.148848
AS039,MW026,43.719453,-79.445163,1.69829
AS044,MW031,43.713092,-79.515599,1.87618
AS048,MW035,43.349551,-80.098407,-3.55182
AS053,MW040,43.690086,-79.572325,1.5481
AS055,MW042,43.664067,-79.577284,2.65813
AS059,MW046,43.343046,-79.959704,-2.26854
AS060,MW047,43.519441,-79.750471,-2.66342
AS070,MW057,43.67024,-79.462135,2.71762
AS075,MW062,43.651476,-79.617876,0.697666
AS077,MW064,43.628807,-79.652009,1.05287
AS079,MW066,43.618104,-79.701542,2.15347
AS085,MW072,43.5789,-79.713398,1.55917
AS086,MW073,43.554564,-79.756834,1.95501
AS090,MW077,43.589966,-79.6183,2.03083
MWI001,MWI001,43.696621,-79.339394,2.22867
MWI002,MWI002,43.701735,-79.37955,2.88243
MWI003,MWI003,43.678804,-79.327437,3.55224
MWI004,MWI004,43.667106,-79.419649,3.84032
MWI005,MWI005,43.756455,-79.192428,2.00856
MWI006,MWI006,43.760461,-79.26176,3.17671
MWI007,MWI007,43.802263,-79.256363,2.35665
MWI008,MWI008,43.748469,-79.458981,1.37543
MWI009,MWI009,43.782991,-79.454069,1.26414
MWI010,MWI010,43.799587,-79.51854,2.03765
MWI011,MWI011,43.762289,-79.512796,2.32439
MWI012,MWI012,43.73219,-79.556722,0.957226
MWI013,MWI013,43.706755,-79.639949,3.26466
MWI014,MWI014,43.685168,-79.366888,0.449664
MWI015,MWI015,43.913381,-79.413726,-1.87694
MWI016,MWI016,43.916973,-79.494611,-2.31809
MWI017,MWI017,44.028306,-79.537919,-2.28317
MWI018,MWI018,44.028181,-79.600372,-1.93696
MWI019,MWI019,43.74483,-79.378727,2.25816
MWI020,MWI020,43.73091,-79.318052,2.13291
MWI021,MWI021,43.796696,-79.323165,3.9573
MWI022,MWI022,43.776538,-79.369021,1.17732
MWI023,MWI023,43.847758,-79.373594,2.2599
MWI024,MWI024,43.261162,-80.061819,-2.01149
MWI025,MWI025,43.263337,-80.168495,-2.34585
MWI026,MWI026,43.353306,-80.18659,-2.32439
MWI027,MWI027,43.401515,-80.195634,-2.43387
MWI028,MWI028,43.416087,-80.122253,-1.92918
MWI029,MWI029,43.442214,-80.03383,-2.38034
MWI030,MWI030,43.283129,-79.92699,-1.43459
MWI031,MWI031,43.395198,-79.730097,-1.46995
MWI032,MWI032,43.836328,-79.875741,-2.02212
MWI033,MWI033,43.819848,-79.727826,-0.338702
MWI034,MWI034,43.878661,-79.748289,0.292304
MWI035,MWI035,43.870627,-79.91166,-2.3875
MWI036,MWI036,43.675637,-79.697509,-0.911907
MWI037,MWI037,43.500733,-79.645637,3.452
MWI038,MWI038,43.710601,-79.693242,3.87689
MWI039,MWI039,43.600179,-79.536769,3.68742
MWI040,MWI040,43.980273,-78.848928,-2.19143
MWI041,MWI041,44.018222,-78.9692,-2.15992
MWI042,MWI042,44.118282,-79.000582,-2.27934
MWI043,MWI043,44.107598,-79.127055,1.06601
MWI044,MWI044,44.0061,-79.101391,-2.51166
MWI045,MWI045,43.959786,-79.125122,-2.08936
MWI046,MWI046,43.968138,-78.968182,-0.0572299
MWI047,MWI047,43.871102,-78.982515,-0.969024
MWI048,MWI048,43.486539,-79.9813686,-1.6233
MWI049,MWI049,43.606387,-80.1263666,-1.43873
MWI050,MWI050,43.610169,-80.0385124,-1.56368
MWI051,MWI051,43.579539,-79.8801665,-1.32849
MWI052,MWI052,43.668342,-79.855547,-2.3972
MWI053,MWI053,43.687299,-79.977056,-2.48219
MWI054,MWI054,43.684359,-80.091581,-2.26086
MWI055,MWI055,43.782845,-80.080908,-0.396806
MWI056,MWI056,43.871554,-80.08388,-2.2991
MWI057,MWI057,43.886686,-80.007555,-2.41241
MWI058,MWI058,43.793817,-80.008945,-2.38077
MWI059,MWI059,43.99049,-79.456416,2.81186
MWI060,MWI060,44.051921,-79.202519,-2.02344
MWI061,MWI061,43.972752,-79.163005,-2.30838
MWI062,MWI062,43.860879,-79.21199,-1.1344
MWI063,MWI063,43.840807,-79.196185,-2.41611
MWI064,MWI064,43.848008,-79.245759,2.09681
MWI065,MWI065,43.902086,-79.260261,3.18332
MWI066,MWI066,43.897731,-79.279555,2.66864
MWI067,MWI067,43.843859,-79.318895,1.19295
MWI068,MWI068,43.854548,-79.067414,1.14401
MWI069,MWI069,43.829329,-79.054091,0.933288
MWI070,MWI070,43.864346,-79.096966,-1.67851
MWI071,MWI071,43.848246,-79.12825,-1.64869
MWI072,MWI072,43.809374,-79.122167,2.43682
MWI073,MWI073,43.942697,-79.988265,-2.1359
MWI074,MWI074,43.967519,-79.860387,-1.59796
MWI075,MWI075,43.957531,-79.717209,-1.80771
MWI076,MWI076,43.996179,-79.597078,-2.15475
MWI077,MWI077,43.821376,-79.581908,0.621214
MWI078,MWI078,43.830876,-79.44687,-0.96586
MWI079,MWI079,43.782727,-79.59178,2.80029
MWI080,MWI080,43.747842,-79.632628,2.37913
MWI081,MWI081,43.617969,-79.508823,4.10926
UTSC,UTSC,43.78348333,-79.18972222,0.861724
AS001,MW001,43.550556,-79.663,-1.17377
AS002,MW002,43.550225,-79.654062,0.0619652
AS003,MW003,43.565106,-79.671002,-0.5488855
AS010,MW005,43.493329,-79.747541,-2.80108
AS014,MW006,43.438669,-79.780878,-0.431062
AS017,MW007,43.434493,-79.904435,-3.0900825
AS021,MW008,43.457451,-79.866815,-1.67951
AS024,MW011,43.589594,-79.638468,2.10156
AS027,MW014,43.648581,-79.521463,1.74833
AS029,MW016,43.711948,-79.535894,0.113649
AS030,MW017,43.501061,-79.844567,-0.230729
AS031,MW018,43.484111,-79.837702,-0.0445896
AS032,MW019,43.41401,-79.953028,-3.44897
AS033,MW020,43.387612,-79.959232,-3.34998
AS034,MW021,43.399222,-79.930576,-3.55627
AS035,MW022,43.377146,-79.973861,-3.45963
AS036,MW023,43.371308,-79.981819,-3.23351
AS037,MW024,43.363349,-80.01471,-2.90157
AS038,MW025,43.726774,-79.432109,3.09467
AS040,MW027,43.726466,-79.445593,0.822976
AS041,MW028,43.713472,-79.463271,1.62646
AS042,MW029,43.713584,-79.475768,1.68161
AS043,MW030,43.71387,-79.505919,0.942832
AS045,MW032,43.66963,-79.498027,1.9821
AS046,MW033,43.358912,-80.043033,-3.23043
AS047,MW034,43.357422,-80.052572,-3.48661
AS049,MW036,43.321018,-80.049313,-3.25583
AS050,MW037,43.702158,-79.543737,0.219585
AS051,MW038,43.701032,-79.549473,1.49438
AS052,MW039,43.701432,-79.56251,2.30737
AS054,MW041,43.675131,-79.571575,0.524692
AS056,MW043,43.32296,-80.038276,-3.1006
AS057,MW044,43.330042,-79.995566,-3.07271
AS058,MW045,43.335538,-79.962974,-2.92002
AS061,MW048,43.530493,-79.738194,-2.76803
AS062,MW049,43.534939,-79.732912,0.2286
AS063,MW050,43.535065,-79.721652,0.92133
AS064,MW051,43.669676,-79.422881,2.67139
AS065,MW052,43.680726,-79.411251,0.342993
AS066,MW053,43.691138,-79.427943,1.81695
AS067,MW054,43.67876,-79.431977,3.17675
AS068,MW055,43.674579,-79.446438,2.4063
AS069,MW056,43.671068,-79.452408,2.24942
AS071,MW058,43.671812,-79.474258,2.33711
AS072,MW059,43.670454,-79.482484,2.36447
AS073,MW060,43.646988,-79.583587,2.21586
AS074,MW061,43.654607,-79.607519,0.644411
AS076,MW063,43.63776,-79.635241,0.627215
AS078,MW065,43.626304,-79.673743,1.99176
AS080,MW067,43.613475,-79.705867,3.37284
AS081,MW068,43.595802,-79.719547,1.16536
AS082,MW069,43.553597,-79.699608,1.41576
AS083,MW070,43.571026,-79.733337,3.02269
AS084,MW071,43.564655,-79.720469,1.56034
AS087,MW074,43.568721,-79.651832,2.71046
AS088,MW075,43.573691,-79.63648,2.32931
AS089,MW076,43.579335,-79.630017,1.98333
AS091,MW078,43.591194,-79.608405,2.16088
AS092,MW079,43.601609,-79.583684,2.43357
AS093,MW080,43.633829,-79.553119,2.18288
