pop1,pop2,pop1_hab,pop2_hab,fst
MW067,MW079,Urban,Urban,0.01046247737920724
MW067,MW040,Urban,Urban,-0.008354333118451806
MW067,MW047,Urban,Rural,0.04021229578797257
MW067,MW002,Urban,Urban,-0.022378986118467142
MW067,MW012,Urban,Urban,0.060323879390609486
MW067,MW013,Urban,Urban,0.026292520873596327
MW067,MW018,Urban,Rural,-0.010944145165863397
MW067,MW030,Urban,Urban,0.04451658503937497
MW067,MW019,Urban,Rural,0.05207480473572719
MW067,MW004,Urban,Rural,-0.0004033109911847616
MW067,MW021,Urban,Rural,0.08598962804277394
MW067,MW017,Urban,Rural,0.0270287860150601
MW067,MW007,Urban,Rural,0.0018624634305584658
MW067,MW056,Urban,Urban,0.012104031677465807
MW067,MW057,Urban,Urban,0.0025571414396408465
MW067,MW027,Urban,Urban,0.026109045848822777
MW067,MW049,Urban,Urban,0.06865757101093942
MW067,MW077,Urban,Urban,0.05764104922675263
MW067,MW039,Urban,Urban,0.02265894396888423
MW067,MW001,Urban,Rural,0.07283516859643875
MW067,MW006,Urban,Rural,-6.527807152909334e-05
MW067,MW072,Urban,Urban,0.01524689648629559
MW067,MW036,Urban,Rural,0.023862107481024547
MW067,MW062,Urban,Urban,0.020528104671657773
MW067,MW046,Urban,Rural,0.04354626175149649
MW067,MW061,Urban,Urban,0.03579295847337083
MW067,MW068,Urban,Urban,0.07545464952736061
MW067,MW029,Urban,Urban,0.019856869267210996
MW067,MW014,Urban,Urban,-0.00279502888794119
MW067,MW003,Urban,Rural,0.068627450980392
MW067,MW031,Urban,Urban,-0.013393336212424603
MW067,MW015,Urban,Urban,-0.0017566638661880376
MW067,MW011,Urban,Urban,0.03745716648942476
MW067,MW064,Urban,Urban,-0.05249581886015691
MW067,MW035,Urban,Rural,0.008435448364536033
MW067,MW008,Urban,Rural,-0.007773431070935714
MW067,MW005,Urban,Rural,0.01050855648634399
MW067,MW074,Urban,Urban,0.04898056500670179
MW079,MW040,Urban,Urban,-0.06617701459212746
MW079,MW047,Urban,Rural,-0.018938091295148517
MW079,MW002,Urban,Urban,-0.05291880928558693
MW079,MW012,Urban,Urban,-0.0020624454545312572
MW079,MW013,Urban,Urban,-0.01920036603833896
MW079,MW018,Urban,Rural,-0.0787255764500394
MW079,MW030,Urban,Urban,-0.01699496932437014
MW079,MW019,Urban,Rural,-0.01886103524385144
MW079,MW004,Urban,Rural,-0.060138918732378935
MW079,MW021,Urban,Rural,0.014829338503113593
MW079,MW017,Urban,Rural,-0.012299120580847445
MW079,MW007,Urban,Rural,-0.034383031657554165
MW079,MW056,Urban,Urban,-0.03619452355639038
MW079,MW057,Urban,Urban,-0.04401415012299061
MW079,MW027,Urban,Urban,-0.05153181741114101
MW079,MW049,Urban,Urban,-0.01024583721414621
MW079,MW077,Urban,Urban,0.00876050064769052
MW079,MW039,Urban,Urban,-0.07017584303933956
MW079,MW001,Urban,Rural,-0.0006577166814914074
MW079,MW006,Urban,Rural,-0.061269095364815014
MW079,MW072,Urban,Urban,-0.030895556971557773
MW079,MW036,Urban,Rural,-0.04103905201135329
MW079,MW062,Urban,Urban,-0.01613660334496235
MW079,MW046,Urban,Rural,-0.014775731813199581
MW079,MW061,Urban,Urban,-0.0062441418356085935
MW079,MW068,Urban,Urban,0.005716957550652245
MW079,MW029,Urban,Urban,-0.05732859479425905
MW079,MW014,Urban,Urban,-0.054948246217992956
MW079,MW003,Urban,Rural,0.016413714284198182
MW079,MW031,Urban,Urban,-0.05841101364844525
MW079,MW015,Urban,Urban,-0.08670224331057023
MW079,MW011,Urban,Urban,-0.023388914723088586
MW079,MW064,Urban,Urban,-0.10256319296499608
MW079,MW035,Urban,Rural,-0.03896517188957837
MW079,MW008,Urban,Rural,-0.02387334880135216
MW079,MW005,Urban,Rural,-0.054341049571268014
MW079,MW074,Urban,Urban,-0.05870573616446031
MW040,MW047,Urban,Rural,-0.0354879324204971
MW040,MW002,Urban,Urban,-0.07217498225631479
MW040,MW012,Urban,Urban,-0.017480517387381305
MW040,MW013,Urban,Urban,-0.06330524455697538
MW040,MW018,Urban,Rural,-0.09984639016897101
MW040,MW030,Urban,Urban,-0.03870921626345907
MW040,MW019,Urban,Rural,-0.008857144741441274
MW040,MW004,Urban,Rural,-0.06889918341708548
MW040,MW021,Urban,Rural,0.014193577778645508
